bike_id,vehicle_type_id,lat,lon,date,fill_color
pony_b756116928a246f3b63d114ad77fe0c6,scooter,47.45956,-0.54875,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_fc69691a385145fe8b17c11613ba85d3,scooter,47.4537,-0.52656,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_294ab33462a64df7aed849b6aadec28d,scooter,47.46498,-0.55861,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_a18667789be940db804fd1c0e94178e1,scooter,47.46744,-0.53541,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_f8292e2b2c29462398441fd001512955,scooter,47.48923,-0.5747,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_81e45ff9bd8b4cf0909242a77e8538f3,scooter,47.46487,-0.55727,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_85eb292a78834ce482bc1e4c0e20eda4,scooter,47.47861,-0.59834,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_956230c5b63f411b8da4a191057c36c8,scooter,47.46983,-0.54764,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_ccce033736df468691e969205622ee7e,scooter,47.44749,-0.56467,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_3d877466d749466795e8cc0bae82ed28,scooter,47.491,-0.56027,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_675e9a66e62e47e0be32e6198489924d,scooter,47.4755,-0.57121,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_b703148c3cf94886b5cf38957b939113,scooter,47.46421,-0.56605,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_f88a552c3848421081cc26d78fea5cf2,scooter,47.45716,-0.55394,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_ddec6ef0997e4e7cad2b9ea24b6149c4,scooter,47.48915,-0.54356,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_edc22929280d4fecb4f23f3cdcc8083b,scooter,47.47106,-0.5516,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_12b76b44fded45759dd8d03e09f042cf,scooter,47.47728,-0.59886,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_a81b483dc0194ed78804310d6b5172be,scooter,47.4628,-0.55964,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_0d26918e068647278fede72e2603b116,scooter,47.44047,-0.48913,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_5faf294500a34c1f88f4fda96d322b57,scooter,47.46173,-0.53931,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_accfcc28d03442689737d46796eeb01e,scooter,47.47138,-0.53285,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_349ec23d41434fc5a189f55285bb1800,scooter,47.46488,-0.5589,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_02b6b44d75794534a0403532344a9aa6,scooter,47.46479,-0.55727,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_e94088e752c04db5b41684ffa37daf16,scooter,47.46228,-0.56669,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_50c49afb8bf24408b260e7776175404c,scooter,47.48958,-0.56066,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_49602af721774ed693c413ffbe113784,scooter,47.46439,-0.54824,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_af2d01a60ab04d7c970ef23bdfc1a9ec,scooter,47.45499,-0.56673,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_64806d38fe9549459662f6266a8cc721,scooter,47.46039,-0.56819,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_905e7a0f933d4b0ebae7f27eecf741c4,scooter,47.46234,-0.5469,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_e737bf6d52dd43a787c56eea1917da30,scooter,47.46736,-0.55895,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_e4d9c41ddb574c8c934ed1a521c3b2a9,scooter,47.47931,-0.55925,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_6b983426f0ae4796942c6a96f95fae3c,scooter,47.47224,-0.55745,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_7fb354182522406dab8226adc860dba8,scooter,47.46554,-0.55697,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_9e7ff56306e64088bf90ef7777da881c,scooter,47.46984,-0.54769,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_6bc7c09378ce4d958bd1c57954c4bdcf,scooter,47.47111,-0.55164,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_aa95b27147fa477582d241d3c47e492c,scooter,47.47783,-0.56837,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_034b77abc2cd4e238c4f774ddc08e358,scooter,47.46382,-0.49128,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_39dc65d696db409da8444c250ba2339a,scooter,47.49236,-0.56029,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_a2b133bda713486b99161fd4f6864872,scooter,47.46276,-0.55981,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_ec265c7bf03c4d10929736ac449b27fb,scooter,47.42497,-0.52543,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_66bb10020c3248aa843bed6b9e387499,scooter,47.44389,-0.54383,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_8f04fd3356f14559a89c5622ee2995a0,scooter,47.5,-0.49041,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_e36db6d9fcf54be8bad839a3fdad33ef,scooter,47.46227,-0.55466,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_8f8ae4d2e2574752a4543ea5f0143767,scooter,47.4727,-0.53927,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_923c0dcd871742d78b0175fda164db67,scooter,47.46553,-0.551,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_2454a2b072a4470ca6f872c18869b7d2,scooter,47.491,-0.56391,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_c7ce300861654e9ab403ba54760286af,scooter,47.47872,-0.53324,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_ae402ad701e64e42bcbd43eb016809c3,scooter,47.46307,-0.54949,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_623d873636594b95a0c2fdef73d710e2,scooter,47.46263,-0.53499,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_5fca7b6d610e4beba459b93ceda0b7ac,scooter,47.44111,-0.49083,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_4445f6040c704ab28cc1133d561c12f7,scooter,47.48052,-0.51755,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_88fd090f1aaf482d8add1b730bbb94ed,scooter,47.45883,-0.55852,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_b9e4d4c43ac04bfc8ba1b4ebe8240376,scooter,47.471,-0.51934,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_9dde3ca1b8ae4529acaf884c907cf81a,scooter,47.488,-0.54477,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_a9505cc76f7447a58af50b0339c89fa7,scooter,47.47113,-0.55276,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_9b3731d1bf774d3ea7824cc4d7494214,scooter,47.46973,-0.54773,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_23b7e997babd4e668f92009e5a6dd98c,scooter,47.49992,-0.58954,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_f96644be14614c319bf08a68f76b4f4a,scooter,47.46729,-0.54943,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_46378761a5f047349e74d0c324f628ef,scooter,47.47307,-0.55005,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_11247b9f4b0243cdbffb7004a22588ef,scooter,47.46801,-0.55135,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_8ed6a0f8a7114267b52ac87ea03d84ea,scooter,47.46492,-0.55691,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_28e2d23e9b254aed9dc2d79a52b957c1,scooter,47.46985,-0.54768,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_b8fe0af195df4de3aaf54911f03a43ab,scooter,47.45355,-0.53667,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_990fa5abce364ab9a8773914497961d1,scooter,47.4684,-0.53783,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_b8756ceac2a54611892a78664384d9c6,scooter,47.47906,-0.5643,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
