bike_id,vehicle_type_id,lat,lon,date
d3694478-2ee0-46e4-8ea1-f9144537c314,dott_scooter,45.139555,5.720211,2023-08-04 10:20:10.392382+02:00
d36bcb14-a5e3-4c6f-ae89-c82192a02894,dott_scooter,45.174959,5.76289,2023-08-04 10:20:10.392382+02:00
d380e807-b1fa-4e9d-a4d2-d760249f5ab8,dott_scooter,45.18293,5.768776,2023-08-04 10:20:10.392382+02:00
d3bdaf6a-6830-4bb4-a9c4-9c2c2ccf4c14,dott_scooter,45.213527,5.661143,2023-08-04 10:20:10.392382+02:00
d3b5c80f-2bb6-45b8-bda4-548962e9e788,dott_scooter,45.184984,5.785353,2023-08-04 10:20:10.392382+02:00
d037a04e-b4e7-4bf2-8f91-7cd8206ca6dc,dott_bicycle,45.216639,5.661906,2023-08-04 10:20:10.392382+02:00
d043a317-570e-4388-a6f5-1ae3a052ab90,dott_scooter,45.187823,5.807933,2023-08-04 10:20:10.392382+02:00
d058a4c0-2b46-4015-84b9-33081cf3efec,dott_scooter,45.200897,5.733738,2023-08-04 10:20:10.392382+02:00
d0748d21-4e58-4f62-ac85-e5c835ee7670,dott_bicycle,45.126885,5.695283,2023-08-04 10:20:10.392382+02:00
d07a0319-e7e2-4321-9ed1-3c34ca8e3d9c,dott_bicycle,45.197916,5.680465,2023-08-04 10:20:10.392382+02:00
d099721a-1b24-4be2-836a-9cc69a382550,dott_bicycle,45.131604,5.696267,2023-08-04 10:20:10.392382+02:00
d0a123a4-6f3b-4aed-a750-697517b6f3c0,dott_scooter,45.204467,5.697991,2023-08-04 10:20:10.392382+02:00
d0c44150-d7b2-4917-8751-e16e1b467374,dott_scooter,45.172473,5.721768,2023-08-04 10:20:10.392382+02:00
d0c8d6b9-4225-42b8-ada6-1f2745799c20,dott_scooter,45.194038,5.680178,2023-08-04 10:20:10.392382+02:00
d10e3543-6a59-40de-af99-49694c38cd0c,dott_scooter,45.180374,5.706951,2023-08-04 10:20:10.392382+02:00
d12b7bb0-e178-46e4-ad5d-e688e2659750,dott_bicycle,45.232797,5.679368,2023-08-04 10:20:10.392382+02:00
d15dc4bc-8601-424e-ad91-c145b0ca2260,dott_scooter,45.124095,5.694391,2023-08-04 10:20:10.392382+02:00
d15ec886-82f2-4e36-bb6f-12d1f39c9020,dott_scooter,45.198531,5.777221,2023-08-04 10:20:10.392382+02:00
d181520c-951c-4e8d-8f70-4d09533e2ce8,dott_scooter,45.198431,5.749425,2023-08-04 10:20:10.392382+02:00
d19f1078-7017-41b3-b18d-6dee3662f4bc,dott_scooter,45.165737,5.690378,2023-08-04 10:20:10.392382+02:00
d1a2a8ef-d2cb-4235-b75b-65a57319d6b4,dott_scooter,45.219792,5.678493,2023-08-04 10:20:10.392382+02:00
d1be6086-bad6-4cc8-9d47-c272bb3d4cd8,dott_scooter,45.195972,5.724137,2023-08-04 10:20:10.392382+02:00
d1b853f4-3d46-4151-b86c-5ea354163b70,dott_scooter,45.196063,5.724143,2023-08-04 10:20:10.392382+02:00
d1b8dc50-d930-4b4e-aff5-4569f361159c,dott_bicycle,45.180118,5.715204,2023-08-04 10:20:10.392382+02:00
d1d168e8-fea2-4d84-9a15-6bd968355018,dott_scooter,45.178317,5.76919,2023-08-04 10:20:10.392382+02:00
d1e2cbe4-7e6f-415b-a3cb-4620bef3c2d4,dott_scooter,45.182004,5.731462,2023-08-04 10:20:10.392382+02:00
d20031dd-86b8-451f-8a3f-2e5c2c808ac0,dott_scooter,45.139585,5.721295,2023-08-04 10:20:10.392382+02:00
d20bddc4-9d29-406f-83b1-451bcf1b7640,dott_bicycle,45.131528,5.696249,2023-08-04 10:20:10.392382+02:00
d25028de-0aad-47f8-b10f-78ae644ceed4,dott_scooter,45.182447,5.792128,2023-08-04 10:20:10.392382+02:00
d252bab9-85a9-48a7-8054-93b6240a3010,dott_bicycle,45.205691,5.758051,2023-08-04 10:20:10.392382+02:00
d2766ac5-3612-4679-a1bd-e61c72738414,dott_scooter,45.172506,5.721786,2023-08-04 10:20:10.392382+02:00
d289914c-6377-4282-8031-38e83d0bf220,dott_scooter,45.150606,5.742396,2023-08-04 10:20:10.392382+02:00
d2a0b8a6-906a-461b-b7a1-3b2340a0cacc,dott_scooter,45.145216,5.691203,2023-08-04 10:20:10.392382+02:00
d2bdcebf-a5a3-487d-8cbf-b21fdd920f68,dott_scooter,45.197499,5.671689,2023-08-04 10:20:10.392382+02:00
